GEOID,count,rate,total_pop,total_pop_moe
29189218103,48,8.616047388260636,5571,400
29189218201,38,12.14445509747523,3129,203
29189218300,40,9.80872976949485,4078,269
29189218401,16,4.351373402230078,3677,219
29189218402,26,5.46448087431694,4758,232
29189218500,46,9.508061182306738,4838,214
29189218600,40,16.220600162206,2466,237
29189218800,37,6.241565452091768,5928,16
29189218900,43,6.6296638914585255,6486,464
29189219100,22,5.523474767762993,3983,199
29189219200,25,9.948269001193793,2513,185
29189219300,8,4.071246819338422,1965,118
29189219400,35,5.588376177550694,6263,272
29189219500,57,8.527827648114902,6684,307
29189219600,86,13.117754728492983,6556,151
29189219700,51,8.567109020661851,5953,543
29189219800,69,8.802143130501339,7839,369
29189219900,63,9.701262704034493,6494,354
29189220001,50,10.822510822510822,4620,336
29189220002,22,6.7526089625537145,3258,198
29189220100,109,14.00668208686713,7782,523
29189220200,71,13.30834114339269,5335,527
29189220300,14,6.903353057199211,2028,207
29189220431,64,7.556080283353011,8470,654
29189220432,52,6.318347509113001,8230,330
29189220441,67,10.816919599612527,6194,294
29189220442,40,9.097111667045713,4397,174
29189220443,20,4.946821667078902,4043,301
29189220444,31,3.885685635497618,7978,325
29189220445,25,5.135579293344289,4868,156
29189220446,26,5.531914893617022,4700,227
29189220501,77,11.485680190930788,6704,435
29189220502,62,9.215219976218787,6728,492
29189220601,64,9.925558312655086,6448,291
29189220602,76,12.975926242103466,5857,271
29189220701,20,7.24112961622013,2762,126
29189220702,49,13.377013377013377,3663,194
29189220703,37,14.607185155941572,2533,161
29189220801,72,14.331210191082803,5024,304
29189220802,48,10.07979840403192,4762,280
29189220803,50,10.741138560687434,4655,246
29189221000,39,13.242784380305604,2945,206
29189221100,16,8.537886872998934,1874,105
29189221201,49,14.394829612220915,3404,275
29189221202,68,11.215569849909285,6063,352
29189221301,80,9.865581452706868,8109,496
29189221302,67,10.019440705847167,6687,410
29189221332,40,8.81445570736007,4538,214
29189221335,48,8.124576844955993,5908,319
29189221421,40,5.652911249293386,7076,396
29189221422,85,9.982384028185555,8515,522
29189221423,45,11.157946937763452,4033,26
29189221424,21,4.014528770789524,5231,226
29189221502,55,9.157509157509159,6006,348
29189221503,68,9.929906542056074,6848,421
29189221506,16,3.3840947546531304,4728,302
29189221621,28,6.468006468006468,4329,283
29189221624,23,6.713368359603035,3426,225
29189221625,16,2.2788776527560177,7021,421
29189221626,20,2.991325157044571,6686,354
29189221627,14,2.197112366603892,6372,317
29189221628,57,8.186126669538993,6963,411
29189221629,21,3.9901197035911076,5263,249
29189221800,57,16.142735768903993,3531,431
29189221900,17,4.589632829373651,3704,230
29189222000,38,10.537992235163616,3606,344
29189222100,24,4.9453946012775605,4853,213
